
> df.ranks.lys
   brk      eco rankfrac.ave rankfrac.sd
1    1 1.Marine  0.671177917 0.121916235
2    2 1.Marine  0.128805585 0.013519086
3    3 1.Marine  0.050046398 0.011557187
4    4 1.Marine  0.029193624 0.009915141
5    5 1.Marine  0.019346786 0.008328749
6    6 1.Marine  0.013951848 0.007097747
7    7 1.Marine  0.010612116 0.006130886
8    8 1.Marine  0.008451031 0.005405863
9    9 1.Marine  0.007080857 0.004928594
10 9+1 1.Marine  0.005718827 0.004277107
11   1    2.Gut  0.506489013 0.163165618
12   2    2.Gut  0.149674640 0.019259213
13   3    2.Gut  0.075305540 0.013690393
14   4    2.Gut  0.047620840 0.013235135
15   5    2.Gut  0.032709519 0.011839611
16   6    2.Gut  0.024155508 0.010477234
17   7    2.Gut  0.019045926 0.009447197
18   8    2.Gut  0.015460726 0.008518853
19   9    2.Gut  0.012706427 0.007627024
20 9+1    2.Gut  0.010688173 0.006892875

> sink()
