"","rank","gut","marine"
"1",1,0.158815265763788,0.193379751
"2",2,0.0752452075534143,0.068927111
"3",3,0.0500978747652955,0.039017296
"4",4,0.0386832394145059,0.029871194
"5",5,0.0310393459303266,0.024503957
"6",6,0.0260382150565668,0.021068006
"7",7,0.0228757503890265,0.018612472
"8",8,0.0204012598366425,0.016887035
"9",9,0.018223497870513,0.015883419
"10",10,0.0165199844354549,0.014232685
"11",11,0.0151331732008853,0.013249854
"12",12,0.0139636734596164,0.012443174
"13",13,0.0129403225773626,0.011764995
"14",14,0.0119908679275405,0.011115637
"15",15,0.011309825019854,0.010557542
"16",16,0.0105953050564941,0.010165537
"17",17,0.00994535042642231,0.009470344
"18",18,0.00935103451155644,0.008945867
"19",19,0.00883252460256012,0.008563045
"20",20,0.00834903542429819,0.008284982
"21",21,0.00795533510010535,0.007944799
"22",22,0.0075038990612275,0.007586131
"23",23,0.0070733879292477,0.007402233
"24",24,0.00677421961475075,0.007153306
"25",25,0.00647300010800918,0.006927326
"26",26,0.00614313546323159,0.006542644
"27",27,0.00588106085810273,0.00631781
"28",28,0.00559767923525543,0.006099941
"29",29,0.00539292299248357,0.005940317
"30",30,0.00521753685539498,0.005758316
"31",31,0.00500348979146331,0.005623974
"32",32,0.00479291293271525,0.005525144
"33",33,0.00464068648808936,0.005418911
"34",34,0.00448958840310916,0.005299587
"35",35,0.00433079666671671,0.005163043
"36",36,0.00419095882930267,0.005041673
"37",37,0.00403713495781013,0.00496508
"38",38,0.00391248748503486,0.004902393
"39",39,0.00377451721502387,0.004654869
"40",40,0.00366338837800043,0.004572033
"41",41,0.00350505226218798,0.004469758
"42",42,0.00339564320345642,0.004341477
"43",43,0.00329555884529793,0.004178427
"44",44,0.00318544994611568,0.004097787
"45",45,0.00309346428541022,0.004039628
"46",46,0.00301428790776158,0.004011446
"47",47,0.00291568149481962,0.003909138
"48",48,0.00280028840768734,0.003818737
"49",49,0.00273126759019032,0.003761392
"50",50,0.00264742859302469,0.003648344
"51",51,0.0025770676682581,0.003613822
"52",52,0.00251386111648539,0.003544507
"53",53,0.00245839803447256,0.003484775
"54",54,0.00237419693304607,0.003399702
"55",55,0.00232230425117666,0.003334834
"56",56,0.00226825128092977,0.003294506
"57",57,0.00220892091741789,0.003222341
"58",58,0.00216248149498262,0.003212024
"59",59,0.00211438497449785,0.003139354
"60",60,0.0020684032326347,0.003087052
"61",61,0.00200674686694241,0.003034028
"62",62,0.00195656620647272,0.002958368
"63",63,0.00190407424440688,0.002893519
"64",64,0.00185717894600128,0.002840941
"65",65,0.00182217734251098,0.002789141
"66",66,0.00178580299246595,0.002757842
"67",67,0.00174487418161181,0.002718888
"68",68,0.00171251545164488,0.002672418
"69",69,0.00168195491691938,0.002630085
"70",70,0.00165034620415525,0.002596503
"71",71,0.00160666588270679,0.002544984
"72",72,0.00157077354518183,0.00248055
"73",73,0.00153632896913217,0.002428095
"74",74,0.00150822734131277,0.002408813
"75",75,0.00147951607464056,0.002375377
"76",76,0.00145015803156914,0.002327235
"77",77,0.00142268881588192,0.002273873
"78",78,0.0013971853742521,0.002242488
"79",79,0.00137008528236875,0.002219756
"80",80,0.00134334538795969,0.00219922
"81",81,0.00132219292334733,0.002170757
"82",82,0.00129345287835162,0.002141158
"83",83,0.00126946738303733,0.002123533
"84",84,0.00124559133529213,0.002099795
"85",85,0.00122683792250611,0.002081541
"86",86,0.00120435365781058,0.002043763
"87",87,0.00118255461668237,0.002017407
"88",88,0.00116193273508474,0.001988593
"89",89,0.00114203526550232,0.001967079
"90",90,0.00112607331824339,0.00191999
"91",91,0.0011109657520818,0.001897358
"92",92,0.00109278010436988,0.001858316
"93",93,0.00107565051396373,0.001842292
"94",94,0.00106164681287587,0.001802063
"95",95,0.00104476253750623,0.001751715
"96",96,0.00102852966553409,0.001735392
"97",97,0.00101168543560405,0.001698784
"98",98,0.000992973110436801,0.00167326
"99",99,0.000979464878755112,0.00167049
"100",100,0.000962396038094595,0.001639526
